gestfips,h_year,hearnval,hfdval,hfoodsp,hlorent,hmcaid,hpawval,hpaw_yn,hpublic,hssival,h_seq,gtmetsta,ffpos,f_mv_fs,povll,pehspnon,prdtrace,prcitshp,pemlr,a_age,a_maritl,a_hga,marsupwt,dis_hp,hea,mcaid,paw_val,paw_yn,pearnval,pov_univ,pppos,spm_id,ssi_val,ssi_yn,wkswork,racecat
California,2023,0,0,2,0,3,0,2,0,0,79388,1,1,0,14,2,1,1,5,71,7,42,3969.09,2,1,2,0,2,0,1,41,79388001,0,2,0,1
California,2023,265000,0,2,0,3,0,2,0,0,79390,1,1,0,14,2,1,1,1,31,1,43,2695.26,2,1,2,0,2,90000,1,42,79390001,0,2,48,1
California,2023,130000,0,2,0,3,0,2,0,0,79396,1,1,0,14,1,1,1,1,60,1,44,2014.25,2,3,2,0,2,100000,1,41,79396001,0,2,52,4
California,2023,0,0,2,0,3,0,2,0,0,79401,1,1,0,9,2,1,1,5,65,5,40,4369.78,2,1,2,0,2,0,1,41,79401001,0,2,0,1
California,2023,0,0,2,0,3,0,2,0,0,79402,1,1,0,14,2,2,1,5,79,1,41,3205.07,2,5,2,0,2,0,1,41,79402001,0,2,0,2
California,2023,150000,0,2,0,3,0,2,0,0,79403,1,1,0,11,2,1,1,0,6,7,0,2525.52,0,1,2,0,0,0,1,45,79403001,0,0,0,1
California,2023,89700,0,2,0,3,0,2,0,0,79405,1,1,0,9,1,1,1,1,22,7,39,2476.39,2,1,2,0,2,45500,1,43,79405001,0,2,52,4
California,2023,35000,0,2,0,3,0,2,0,0,79406,1,1,0,11,1,1,1,1,74,4,40,1914.69,2,3,2,0,2,35000,1,41,79406001,0,2,52,4
California,2023,50000,0,2,0,3,0,2,0,0,79407,1,1,0,14,2,1,1,1,71,4,43,3592,2,2,2,0,2,50000,1,41,79407001,0,2,52,1
California,2023,1200,0,2,2,1,0,2,2,0,79408,1,1,0,1,1,1,1,6,27,7,34,2766.22,1,3,1,0,2,0,1,43,79408001,0,2,0,4
California,2023,14400,30000,1,0,1,25000,1,1,0,79409,1,1,30000,2,2,10,1,0,2,7,0,3121.5,0,1,1,0,0,0,1,45,79409001,0,0,0,5
California,2023,14400,30000,1,0,1,25000,1,1,0,79409,1,2,0,3,2,10,1,1,30,7,39,4155.19,2,4,1,0,2,14400,1,46,79409001,0,2,52,5
California,2023,89000,0,2,0,3,0,2,0,0,79410,1,1,0,14,2,1,1,1,57,7,43,4406.84,2,2,2,0,2,89000,1,41,79410001,0,2,50,1
California,2023,14144,3600,1,2,1,0,2,2,0,79411,1,1,3600,7,1,1,5,1,52,1,33,2082.03,2,3,1,0,2,14144,1,41,79411001,0,2,52,4
California,2023,86400,0,2,2,3,0,2,2,0,79412,1,1,0,14,2,4,1,1,29,7,39,2701.1,2,1,2,0,2,86400,1,41,79412001,0,2,52,3
California,2023,91200,0,2,2,3,0,2,2,0,79413,1,1,0,14,2,1,1,1,46,7,44,4111.26,2,1,2,0,2,91200,1,41,79413001,0,2,52,1
California,2023,72000,0,2,0,2,0,2,0,12000,79416,1,1,0,8,2,1,1,0,9,7,0,2692.63,0,1,2,0,0,0,1,44,79416001,0,0,0,1
California,2023,0,0,2,0,3,0,2,0,0,79418,1,1,0,14,2,1,1,5,80,1,40,3592,2,1,2,0,2,0,1,42,79418001,0,2,0,1
California,2023,39000,0,2,0,3,0,2,0,0,79419,1,1,0,9,1,1,4,5,75,4,33,1872.92,2,4,2,0,2,0,1,41,79419001,0,2,0,4
California,2023,46000,300,1,2,3,0,2,2,0,79420,1,1,300,7,2,1,1,5,70,5,39,1627.72,2,4,2,0,2,0,1,44,79420001,0,2,0,1
California,2023,0,0,2,0,3,0,2,0,0,79422,1,1,0,14,2,1,1,5,67,1,39,3535.37,2,2,2,0,2,0,1,41,79422001,0,2,0,1
California,2023,150002,0,2,0,3,0,2,0,0,79423,1,1,0,13,2,6,1,0,2,7,0,2550.27,0,1,2,0,0,0,1,44,79423001,0,0,0,5
California,2023,230000,0,2,0,3,0,2,0,0,79424,1,1,0,14,1,1,1,1,48,1,40,2311.56,2,2,2,0,2,130000,1,41,79424001,0,2,52,4
California,2023,36000,0,2,0,1,0,2,0,7200,79425,1,1,0,5,1,1,1,1,23,7,39,2154.09,2,3,1,0,2,21000,1,42,79425001,0,2,44,4
California,2023,20000,0,2,2,1,0,2,2,0,79426,1,1,0,5,1,1,1,1,54,6,35,1914.36,2,3,1,0,2,20000,1,41,79426001,0,2,50,4
California,2023,45000,0,2,2,1,0,2,2,0,79427,1,1,0,9,2,1,1,1,35,7,40,5219.53,2,2,1,0,2,45000,1,41,79427001,0,2,50,1
California,2023,53702,2580,1,0,1,1800,1,0,0,79428,1,1,2580,9,2,1,1,1,48,5,43,2055.39,2,3,1,1800,1,44102,1,41,79428001,0,2,47,1
California,2023,99200,0,2,2,3,0,2,2,0,79429,1,1,0,14,1,1,1,1,28,1,42,2467.98,2,5,2,0,2,35000,1,42,79429001,0,2,51,4
California,2023,29000,0,2,2,3,0,2,2,0,79430,1,1,0,10,2,1,1,7,52,7,42,4760.18,2,2,2,0,2,29000,1,41,79430001,0,2,52,1
California,2023,100000,0,2,0,3,0,2,0,0,79431,1,1,0,14,2,1,1,1,51,7,40,4872.19,2,1,2,0,2,100000,1,41,79431001,0,2,52,1
California,2023,0,0,2,0,3,0,2,0,0,79433,1,1,0,14,1,1,1,5,79,1,40,4395.16,2,1,2,0,2,0,1,42,79433001,0,2,0,4
California,2023,81900,0,2,2,3,0,2,2,0,79434,1,1,0,12,1,1,5,5,85,4,32,1997.46,2,4,2,0,2,0,1,43,79434001,0,2,0,4
California,2023,120900,0,2,2,3,0,2,2,0,79435,1,1,0,12,1,1,1,6,59,1,39,1905.8,2,4,2,0,2,0,1,42,79435001,0,2,0,4
California,2023,79000,0,2,0,3,0,2,0,0,79436,1,1,0,10,1,1,1,1,46,4,43,2336.7,2,2,2,0,2,24000,1,43,79436001,0,2,50,4
California,2023,91200,0,2,0,3,0,2,0,0,79437,1,1,0,10,2,1,1,0,13,7,0,2669.21,0,1,2,0,0,0,1,43,79437001,0,0,0,1
California,2023,0,0,2,0,3,0,2,0,0,79438,1,1,0,1,2,1,1,5,75,4,37,3552.61,2,3,2,0,2,0,1,41,79438001,0,2,0,1
California,2023,40000,0,2,0,3,0,2,0,0,79439,1,1,0,9,1,1,1,1,30,7,39,4662.61,2,3,2,0,2,40000,1,41,79439001,0,2,52,4
California,2023,114000,0,2,0,3,0,2,0,0,79440,1,1,0,14,1,1,1,1,32,3,40,2483.59,2,5,2,0,2,66000,1,42,79440001,0,2,48,4
California,2023,110000,0,2,0,3,0,2,0,0,79442,1,1,0,14,1,1,1,1,56,5,43,1826.55,2,2,2,0,2,50000,1,41,79442001,0,2,52,4
California,2023,185000,0,2,0,3,0,2,0,0,79444,1,1,0,14,2,1,1,1,55,1,39,4484.74,2,3,2,0,2,150000,1,41,79444001,0,2,52,1
California,2023,82000,23,1,2,2,0,2,2,0,79445,1,1,23,10,2,1,1,1,24,7,39,5758.21,2,1,2,0,2,50000,1,41,79445001,0,2,52,1
California,2023,82000,23,1,2,2,0,2,2,0,79445,1,2,0,10,2,1,1,1,22,7,42,5758.21,2,1,1,0,2,32000,1,42,79445001,0,2,50,1
California,2023,62400,0,2,0,3,0,2,0,0,79446,1,1,0,12,2,1,1,1,43,5,39,4490.3,2,1,2,0,2,62400,1,41,79446001,0,2,52,1
California,2023,0,0,2,2,3,0,2,2,0,79448,1,1,0,9,2,1,1,5,74,1,39,3832.83,2,3,2,0,2,0,1,42,79448001,0,2,0,1
California,2023,170000,0,2,2,3,0,2,2,0,79463,1,1,0,13,2,4,4,1,60,7,43,2687.81,2,3,2,0,2,60000,1,41,79463001,0,2,52,3
California,2023,170000,0,2,2,3,0,2,2,0,79463,1,2,0,13,2,4,5,1,36,1,43,2783.98,2,3,2,0,2,15000,1,44,79463001,0,2,52,3
California,2023,43000,0,2,0,3,0,2,0,0,79481,1,1,0,10,1,1,1,5,63,1,33,2224.59,2,2,2,0,2,0,1,41,79481001,0,2,0,4
California,2023,0,0,2,2,3,0,2,2,0,79482,1,1,0,2,1,1,1,6,61,7,39,2193.69,2,4,2,0,2,0,1,41,79482001,0,2,0,4
California,2023,53000,0,2,0,3,0,2,0,0,79483,1,1,0,9,1,1,4,1,57,1,36,2110.61,2,2,2,0,2,23000,1,41,79483001,0,2,52,4
California,2023,38000,8700,1,2,2,14400,1,2,0,79484,1,1,8700,4,1,1,5,7,42,1,34,2109.11,2,3,1,14400,1,0,1,42,79484001,0,2,0,4
California,2023,35000,0,2,2,1,0,2,2,0,79485,1,1,0,6,1,1,1,0,4,7,0,2521.76,0,1,1,0,0,0,1,44,79485001,0,0,0,4
California,2023,0,0,2,0,3,0,2,0,0,79486,1,1,0,4,1,1,1,5,80,4,44,1997.68,2,3,2,0,2,0,1,41,79486001,0,2,0,4
California,2023,140110,0,2,0,3,0,2,0,0,79488,1,1,0,14,1,1,5,1,38,7,42,2093.82,2,1,2,0,2,50000,1,41,79488001,0,2,52,4
California,2023,0,300,1,0,1,0,2,0,0,79490,1,1,150,4,1,1,1,6,80,5,36,1913.18,1,4,1,0,2,0,1,41,79490001,0,2,0,4
California,2023,0,300,1,0,1,0,2,0,0,79490,1,2,150,1,1,1,1,7,42,7,34,2306.06,2,3,1,0,2,0,1,42,79490003,0,2,0,4
California,2023,30000,700,1,2,2,0,2,2,0,79491,1,1,700,3,1,1,5,1,26,7,39,2836.34,2,3,2,0,2,15000,1,41,79491001,0,2,40,4
California,2023,30000,700,1,2,2,0,2,2,0,79491,1,2,0,3,1,1,4,1,42,7,39,2522.58,2,3,1,0,2,15000,1,42,79491003,0,2,40,4
California,2023,39000,0,2,1,1,0,2,2,0,79492,1,1,0,10,1,3,1,1,47,7,42,2924.07,2,3,1,0,2,24000,1,41,79492001,0,2,52,4
California,2023,145000,0,2,0,3,0,2,0,0,79493,1,1,0,14,1,1,5,2,36,1,39,2210.58,2,3,2,0,2,65000,1,42,79493001,0,2,52,4
California,2023,37000,0,2,0,3,0,2,0,0,79494,1,1,0,8,1,1,5,1,59,5,33,1944.8,2,2,2,0,2,37000,1,41,79494001,0,2,32,4
California,2023,35100,0,2,0,3,0,2,0,0,79495,1,1,0,11,1,1,1,5,72,1,32,2268.63,2,2,2,0,2,0,1,41,79495001,0,2,0,4
California,2023,0,3780,1,0,1,0,2,0,10800,79499,1,1,3780,2,1,1,1,6,28,7,39,2373.61,1,3,1,0,2,0,1,41,79499001,10800,1,0,4
